RCP_SNO,CKG_NM,CKG_NM_KO,RGTR_ID,RGTR_NM,INQ_CNT,RCMM_CNT,SRAP_CNT,CKG_MTH_ACTO_NM,CKG_STA_ACTO_NM,CKG_MTRL_ACTO_NM,CKG_KND_ACTO_NM,CKG_IPDC,CKG_MTRL_CN,CKG_INBUN_NM,CKG_DODF_NM,CKG_TIME_NM,FIRST_REG_DT,Y_ID
6876357,Dak bokkeumtang,닭볶음탕,bhs1009833,주부9단요리톡톡,2943433,76,103614,Boiling,Daily,Meat,Soup,This is also chicken fried tang recipe. There is also a YouTube video below. /UC62LSBFDMUBLCIFICIFICIFIJVEXQFQ I have a chicken fried soup restaurant. I was so delicious that I followed the internet.,[Materials] 1 chicken | Condemn | 3 potatoes | Carrot 1/2 | 1 ~ 1.5 onions | 3 peppers | 1 leek | Five chopped garlic | Milk 200ml [Broth] Anchovy | Keys | Shiitake Mushroom [Seasoning] Soy Soy Soy Soy 8 ~ 11 Tbsp | 4 tablespoons of red pepper paste | 2 tablespoons of red pepper powder | 6 tablespoons per dish | Liver onions 1/2 | 1 tablespoon of Cheongju | 400 ~ 600ml of water | A little pepper | Sometimes sesame oil | 1 tablespoon of fish sauce,3 servings,Beginner,within 1h,20170912,Ax8ff8w5LUw
6884636,Budaejjigae,부대찌개,faces7,블레스그레이스,2164414,22,88748,Boiling,Daily,etc,Stew,"How to make a delicious bag stew like the taste outside! If you put red pepper paste, it becomes a stubborn and tastes of red pepper paste and you want to inform people who don't like it! If you have red pepper powder and on the market, you can make more delicious bag stew than to sell it outside. ? This is the dish that the preliminary groom was a big hit! It's confident, so please follow me.",[Materials] Kimchi 1/4 Bob Air (1 Zoom) | 20 Vienna | 1 spam | Tofu 1/3 Mo | 1 Zoom | 4 leek 10 centimeters | 2 red peppers | Two large chili peppers | 1 bag of bone bone soup [seasoning] 1/2 tablespoon of miso | 4 tablespoons of pepper powder | 2 tablespoons of garlic | 2 tablespoons of soy sauce | Sugar 1/2 tablespoon | Water 1/2 Suzhou Cup,2 servings,Beginner,within 30m,20180227,8uwmFQH614M
6879533,Japchae,잡채,80943821,엘린84,1880362,42,77293,Stir-fry,Daily,etc,etc,I made it with a lively information recipe on the bridegroom's birthday.,[Materials] 1 Zoom 1 | A little carrot | Paprika a little | 1 Zoom Mushroom | 1/2 onions | Leek a little | 1 Zoom for Japtity Pork [Meat] 1 Teaspoon of chopped garlic | 1 teaspoon soy sauce | 1 teaspoon sesame oil | Mirim (Taste) 2 teaspoons | A little pepper [Japchae Seasoning] 10 tablespoons of soy sauce | 20 tablespoons of starch syrup (oligosaccharide),4 servings,middle-level,within 30m,20171114,DNj3YiaP42s
6894096,tteokbokki,떡볶이,ksy9623,뽀유TV,1717002,20,86382,Stir-fry,Speedy,etc,etc,Tasteful back housewife tteokbokki that sells at a snack shop is so simple to make it is so delicious!,[Materials] 2 cups of Tteokbokki cake | 2 cups of water | 1/2 leeks | A little sesame [seasoning] red pepper paste 2T | 1.5T of red pepper powder | 2T soy sauce | 3T sugar,2 servings,Anyone,within 15m,20180813,t4Es8mwdYlE
6873683,Beef seaweed soup,소고기미역국,berrychu,베리츄,1617419,39,68861,Boiling,Daily,Meat,Soup,"The most delicious seaweed soup in the world was to boil the taste of the mother's mother's table #Beef Seaweed soup and I missed the taste. Although I relied on cooking books, I made it without skipping one ingredients, but it tastes like 10%. Eventually I called my mom and asked how to cook. Since that day, I have learned about my mother's secret recipe.",[Materials] Beef (for soup) 180g | 1 zoom (20g) | Rice water (or water) 1.4L (about 7 cups of paper cups) | 1 tablespoon of chopped garlic | 1 tablespoon of sesame oil | 2 tablespoons of soy sauce | Slightly,4 servings,Beginner,within 1h,20170728,xsTFsunt6-8
1785098,Pork kimchi stew,돼지고기김치찌개,hiinyoun,완소연홍,1512385,165,46073,Boiling,Daily,Meat,Stew,Dark soup is a delicious pork kimchi stew.,[Materials] 2 cups of water (based on 250ml) | For pork stew (or neck) 250g | New Kimchi 200g | 5 tablespoons of kimchi soup | 1 teaspoon sesame oil | 1/2 onions | 2 peppers | Large green onions [meat (soaked)] 1 tablespoon of red pepper paste | Mirim 1 tablespoon | Soy Soy sauce 1/2 tablespoon | Salt 1 pinch | 1 tablespoon of chopped garlic | Soy Soy sauce 1/2 tablespoon | Pepper,3 servings,Beginner,within 30m,20100303,qWbHSOplcvY
6880798,Andong steamed chicken,안동찜닭,27854893,미소앨범by하준맘,1459992,25,63900,etc,Daily,Meat,etc,"I thought it was a casual big daughter who had been married for more than five years, but he had never made a good dish. Even if my parents come home, even if I go to my mother's rice for a long time, I have made a delicious steamed chicken that my parents like it today. Time required -Except for 30 hours of removing chicken out of 1 hour.",[Materials] One trimmed chicken No. 7 | 1 zoom | 2 big potatoes | 1 onion | 1/3 carrots | Cucumber 1/3 | 1/2 leek | 1 pepper [source material] 4 kinds of water | 13 spoons of soy sauce (based on adult rice spoon) | 5 spoons of starch syrup (based on adult rice spoon) | 3 spoons of sugar (based on adult rice spoon) | Caramel sauce (omitted) 1 tablespoon (based on adult rice spoon) | 3 spoons of chopped garlic (based on adult rice spoon) | Pepper powder Talk 3 | 1 bag of instant coffee [Removal Materials] Mirim or 3 tablespoons | Rice water (or milk),3 servings,middle-level,within 1h,20171211,0cvI3iAk8Z0
6845428,Stir -fried,제육볶음,wlsgml85,트래블러버클로이,1442479,161,70503,Stir-fry,Daily,Meat,etc,I made a soup without soup at the knight restaurant.,[Sukyuk -fried ingredients] 1 muscle in front of the pork 1 onion | 1/3 carrots | 1 tablespoon of garlic | A little wave | [Refitable sauce] 2 spoons of soy sauce | 1 tablespoon of starch syrup | 2 spoons of plums | 1 tablespoon of red pepper paste | 2 tablespoons of red pepper powder | Pepper,2 servings,Beginner,within 30m,20160327,chnArCaEpqA
6859263,soy bean paste soup,된장찌개,98587162,김쭈,1403370,436,65530,Boiling,Daily,Vegetables,Stew,It is a miso stew with a light feeling to eat with meat.,[Materials] 1 Zoom in oyster Mushrooms | 1/2 onions | 1/4 zucchini | 2 peppers | Tofu 1/4 Mo | Water 1.5 Paper Cup [Seasoning] Miso 2T | 1T oscillation | 1.5T of red pepper powder | 0.5t chopped garlic | 0.5 teaspoons of sugar | The last time salt,2 servings,Beginner,within 15m,20161027,J4vEoFVcguw
6912220,Tofu Stew,순두부찌개,59275751,케이쿡,1366045,5,61258,Boiling,Daily,etc,Stew,"I like soft tofu stew so I eat it often. For my personal taste, it's not good to put pork, and it's a bit cumbersome to prepare the clams. So today I will introduce my recipe to make delicious soft tofu stew without clams or pork.",[Materials] Tofu | 1/4 leek | 1/4 onions | 1/4 zucchini | 1 Cheongyang Pepper | 1 egg | 1 tablespoon of sesame oil | 2 tablespoons of cooking oil | 1+1/2 tablespoon of red pepper powder | Salt 1/2 Tbsp | Sugar 1 peak | Oyster sauce 1 tablespoon | 1 tablespoon of soy sauce | 1 tablespoon of chopped garlic | Anchovy,1 servings,Anyone,within 30m,20190516,nj-DjQFEZb0
